hcp_id,first_name,last_name,specialty,segment,territory,city,state,practice_type,account_tenure,opt_out_flag,channel_preference,interaction_count_digital_ad,interaction_count_email,interaction_count_phone_call,interaction_count_rep_visit,interaction_count_webinar,success_rate_digital_ad,success_rate_email,success_rate_phone_call,success_rate_rep_visit,success_rate_webinar,recency_days_digital_ad,recency_days_email,recency_days_phone_call,recency_days_rep_visit,recency_days_webinar,frequency_score_rep_visit,recency_score_rep_visit,success_score_rep_visit,frequency_score_phone_call,recency_score_phone_call,success_score_phone_call,frequency_score_webinar,recency_score_webinar,success_score_webinar,frequency_score_email,recency_score_email,success_score_email,frequency_score_digital_ad,recency_score_digital_ad,success_score_digital_ad,entropy_channel_score_rep_visit,entropy_channel_score_phone_call,entropy_channel_score_webinar,entropy_channel_score_email,entropy_channel_score_digital_ad,entropy_weighted_score,entropy_weighted_rank,recommended_channel,engagement_eligible,ml_primary_channel,ml_primary_probability
20,Michelle,Ray,dermatology,medium_value,TERR_13,Albuquerque,NM,clinic,0.5,True,Mixed,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.875,0.0,17.0,,,39.0,52.0,0.47058823529411764,0.4347826086956522,0.875,0.0,0.0,0.0,0.1,0.36585365853658536,0.0,0.0,0.0,0.0,0.0625,0.6382978723404256,0.0,0.7000931106522339,0.0,0.09623901256688003,0.0,0.14461052484299072,18.91,424,Do Not Contact,False,rep_visit,0.7627
21,Janet,Williams,cardiology,medium_value,TERR_06,Memphis,TN,hospital,0.5,False,In-Person-Heavy,4.0,6.0,7.0,5.0,4.0,0.0,0.16666666666666666,0.42857142857142855,0.6,0.5,1.0,9.0,46.0,95.0,15.0,0.29411764705882354,0.24000000000000005,0.6,0.4375,0.39473684210526316,0.42857142857142855,0.4,0.6666666666666666,0.5,0.35294117647058826,0.7692307692307692,0.16666666666666666,0.25,0.9677419354838709,0.0,0.46213248223704056,0.4234529320629854,0.5135582429040872,0.32966171091908075,0.25154751626471095,38.5,51,webinar,True,rep_visit,0.2569
22,Jeremy,Roberts,endocrinology,medium_value,TERR_11,Memphis,TN,private_practice,4.1,False,In-Person-Heavy,0.0,2.0,6.0,9.0,3.0,0.0,0.0,0.5,0.7777777777777778,0.3333333333333333,,9.0,84.0,50.0,196.0,0.5294117647058824,0.37499999999999994,0.7777777777777778,0.375,0.2631578947368421,0.5,0.3,0.13274336283185842,0.3333333333333333,0.11764705882352941,0.7692307692307692,0.0,0.0,0.0,0.0,0.6430568850921418,0.4251596801583472,0.28503959773005183,0.1830805918207713,0.0,28.56,237,rep_visit,True,rep_visit,0.7342
23,Christopher,Hall,primary_care,medium_value,TERR_13,Raleigh,NC,private_practice,3.7,False,Mixed,2.0,5.0,3.0,10.0,2.0,0.0,0.6,0.0,0.8,0.5,1.0,10.0,155.0,36.0,28.0,0.5882352941176471,0.45454545454545453,0.8,0.1875,0.16216216216216214,0.0,0.2,0.5172413793103449,0.5,0.29411764705882354,0.75,0.6,0.125,0.9677419354838709,0.0,0.6847134385444495,0.07244611333044612,0.44113754844324055,0.5672864033926708,0.2255402867430103,39.39,41,rep_visit,True,rep_visit,0.358
24,Craig,Ramirez,cardiology,low_value,TERR_09,Mesa,AZ,private_practice,0.6,False,Mixed,2.0,5.0,4.0,2.0,0.0,0.0,0.0,0.25,0.5,0.0,226.0,56.0,37.0,127.0,,0.11764705882352941,0.19108280254777069,0.5,0.25,0.44776119402985076,0.25,0.0,0.0,0.0,0.29411764705882354,0.3488372093023256,0.0,0.125,0.1171875,0.0,0.35675464180713135,0.29077522549932977,0.0,0.13311818790032864,0.05016943566959363,15.82,451,rep_visit,True,rep_visit,0.5698
25,Cynthia,Diaz,primary_care,medium_value,TERR_32,Detroit,MI,private_practice,2.6,False,Mixed,1.0,3.0,9.0,6.0,1.0,0.0,0.6666666666666666,0.0,1.0,1.0,263.0,134.0,2.0,80.0,315.0,0.35294117647058826,0.27272727272727276,1.0,0.5625,0.9375,0.0,0.1,0.08695652173913043,1.0,0.17647058823529413,0.18292682926829268,0.6666666666666666,0.0625,0.10238907849829351,0.0,0.715422225569478,0.3103301820307967,0.6244928456306065,0.464938039676417,0.034114620814982066,40.56,33,rep_visit,True,rep_visit,0.4231
26,Mitchell,Clark,primary_care,medium_value,TERR_12,Colorado Springs,CO,private_practice,5.3,False,In-Person-Heavy,11.0,11.0,0.0,2.0,3.0,0.0,0.09090909090909091,0.0,0.5,0.3333333333333333,101.0,8.0,,4.0,60.0,0.11764705882352941,0.8823529411764706,0.5,0.0,0.0,0.0,0.3,0.3333333333333333,0.3333333333333333,0.6470588235294118,0.7894736842105263,0.09090909090909091,0.6875,0.22900763358778622,0.0,0.4992835940710605,0.0,0.32639807212754646,0.3506533541335335,0.1902575087347017,27.31,259,rep_visit,True,rep_visit,0.2881
27,Joseph,Zuniga,oncology,medium_value,TERR_23,Mesa,AZ,cancer_center,4.4,False,Digital-Heavy,1.0,2.0,8.0,3.0,2.0,0.0,0.0,0.25,0.3333333333333333,0.0,273.0,88.0,9.0,2.0,98.0,0.17647058823529413,0.9375,0.3333333333333333,0.5,0.7692307692307692,0.25,0.2,0.234375,0.0,0.11764705882352941,0.2542372881355932,0.0,0.0625,0.09900990099009901,0.0,0.42526640615223166,0.40907161859098856,0.089935979530507,0.07689709396440729,0.03341788794190841,19.29,420,rep_visit,True,rep_visit,0.2372
28,Deborah,Lynch,primary_care,low_value,TERR_44,Portland,OR,clinic,3.3,False,Digital-Heavy,6.0,3.0,3.0,4.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,38.0,65.0,7.0,51.0,,0.23529411764705882,0.37037037037037035,1.0,0.1875,0.8108108108108107,0.0,0.0,0.0,0.0,0.17647058823529413,0.31578947368421056,0.0,0.375,0.4411764705882353,0.16666666666666666,0.7110772930607279,0.20618718952202664,0.0,0.10182687582978805,0.2666116222969837,26.06,287,rep_visit,True,rep_visit,0.5952
29,George,Daniel,endocrinology,low_value,TERR_05,Fresno,CA,private_practice,3.9,True,Mixed,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.0,18.0,,,64.0,122.0,0.35294117647058826,0.3191489361702128,0.16666666666666666,0.0,0.0,0.0,0.2,0.19736842105263158,0.0,0.0,0.0,0.0,0.125,0.625,0.0,0.23686196663039205,0.0,0.08230580916801447,0.0,0.15487232897712983,10.0,490,Do Not Contact,False,rep_visit,0.5101
30,Frank,Gray,cardiology,medium_value,TERR_09,Philadelphia,PA,clinic,0.7,False,Digital-Heavy,2.0,0.0,6.0,11.0,7.0,0.0,0.0,0.3333333333333333,0.6363636363636364,0.8571428571428571,4.0,,60.0,22.0,44.0,0.6470588235294118,0.5769230769230769,0.6363636363636364,0.375,0.3333333333333333,0.3333333333333333,0.7,0.4054054054054054,0.8571428571428571,0.0,0.0,0.0,0.125,0.8823529411764706,0.0,0.6263331520964288,0.34200240984056685,0.7313069476821541,0.0,0.20793442875289475,36.61,76,webinar,True,rep_visit,0.5461
31,Veronica,Bowman,dermatology,medium_value,TERR_19,Washington,DC,hospital,3.9,False,Digital-Heavy,3.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.5,1.0,1.0,31.0,199.0,51.0,16.0,0.11764705882352941,0.37037037037037035,0.5,0.3125,0.13100436681222707,0.0,0.2,0.6521739130434783,1.0,0.17647058823529413,0.49180327868852464,0.0,0.1875,0.9677419354838709,0.0,0.3937208982208614,0.09202909901761672,0.7618375017989638,0.13811813420964317,0.23854390150386062,31.84,166,webinar,True,rep_visit,0.3456
32,Angela,Cohen,endocrinology,medium_value,TERR_39,Seattle,WA,hospital,1.4,False,In-Person-Heavy,2.0,2.0,8.0,13.0,1.0,0.0,0.0,0.25,0.8461538461538461,1.0,168.0,120.0,22.0,32.0,15.0,0.7647058823529411,0.48387096774193555,0.8461538461538461,0.5,0.5769230769230769,0.25,0.1,0.6666666666666666,1.0,0.11764705882352941,0.2,0.0,0.125,0.15151515151515152,0.0,0.7545109683926037,0.3694208187585488,0.7440198944008596,0.06571422431674973,0.057247253632107725,37.24,70,rep_visit,True,rep_visit,0.5962
33,Megan,Parsons,primary_care,medium_value,TERR_42,Sacramento,CA,clinic,1.4,False,In-Person-Heavy,1.0,3.0,5.0,10.0,3.0,0.0,0.0,1.0,0.7,0.0,206.0,85.0,57.0,14.0,122.0,0.5882352941176471,0.6818181818181818,0.7,0.3125,0.3448275862068966,1.0,0.3,0.19736842105263158,0.0,0.17647058823529413,0.2608695652173913,0.0,0.0625,0.1271186440677966,0.0,0.6729976742402893,0.7218740644084033,0.10311159278537502,0.0905032606831325,0.039213465497547784,30.15,205,phone_call,True,rep_visit,0.7433
34,Jeremy,Johnson,endocrinology,medium_value,TERR_49,Los Angeles,CA,private_practice,0.5,False,In-Person-Heavy,6.0,11.0,3.0,1.0,6.0,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,14.0,31.0,0.0,74.0,8.0,0.058823529411764705,0.28846153846153844,0.0,0.1875,1.0,0.0,0.6,0.7894736842105263,0.3333333333333333,0.6470588235294118,0.49180327868852464,0.09090909090909091,0.375,0.6818181818181818,0.0,0.07171489599416579,0.24519500341123762,0.4828643376699061,0.2892784318734844,0.21860179706193378,25.7,299,webinar,True,rep_visit,0.1475
35,Leslie,Adams,primary_care,high_value,TERR_09,Raleigh,NC,private_practice,1.4,False,Digital-Heavy,10.0,10.0,7.0,0.0,4.0,0.2,0.0,0.0,0.0,0.5,0.0,60.0,114.0,,129.0,0.0,0.0,0.0,0.4375,0.20833333333333334,0.0,0.4,0.18867924528301888,0.5,0.5882352941176471,0.3333333333333333,0.0,0.625,1.0,0.2,0.0,0.13398033647776203,0.4150048083520106,0.1911150154979575,0.4533719076767315,25.2,312,digital_ad,True,rep_visit,0.2337
36,Jason,Hahn,cardiology,low_value,TERR_20,Detroit,MI,hospital,1.8,False,Digital-Heavy,5.0,4.0,2.0,1.0,1.0,0.2,0.5,0.0,0.0,0.0,147.0,1.0,94.0,204.0,52.0,0.058823529411764705,0.12820512820512822,0.0,0.125,0.24193548387096778,0.0,0.1,0.36585365853658536,0.0,0.23529411764705882,0.9677419354838709,0.5,0.3125,0.1694915254237288,0.2,0.03867256280046602,0.07589049382702807,0.09623901256688003,0.5413668445521884,0.2171161423927232,20.01,413,email,True,rep_visit,0.1298
37,Nancy,Edwards,primary_care,medium_value,TERR_29,Seattle,WA,clinic,5.1,False,In-Person-Heavy,2.0,10.0,8.0,3.0,2.0,0.5,0.0,0.125,1.0,0.0,213.0,29.0,87.0,10.0,206.0,0.17647058823529413,0.75,1.0,0.5,0.25641025641025644,0.125,0.2,0.1271186440677966,0.0,0.5882352941176471,0.5084745762711864,0.0,0.125,0.1234567901234568,0.5,0.7771122127807415,0.23011640178393583,0.06782141797141851,0.22722636540185176,0.34434106633088635,33.44,139,rep_visit,True,rep_visit,0.4232
38,Diana,Foster,oncology,low_value,TERR_41,Kansas City,MO,hospital,1.7,False,Mixed,0.0,3.0,4.0,7.0,1.0,0.0,0.0,0.25,1.0,1.0,,218.0,43.0,184.0,147.0,0.4117647058823529,0.14018691588785046,1.0,0.25,0.410958904109589,0.25,0.1,0.1694915254237288,1.0,0.17647058823529413,0.12096774193548389,0.0,0.0,0.0,0.0,0.7003331997894316,0.2831871762981105,0.6415102559639985,0.061657720889182296,0.0,31.29,177,rep_visit,True,rep_visit,0.7184
39,Robin,Ellis,primary_care,medium_value,TERR_08,San Antonio,TX,private_practice,2.1,False,Mixed,3.0,2.0,5.0,3.0,4.0,1.0,0.5,0.2,1.0,0.25,218.0,42.0,95.0,126.0,14.0,0.17647058823529413,0.1923076923076923,1.0,0.3125,0.24000000000000005,0.2,0.4,0.6818181818181818,0.25,0.11764705882352941,0.4166666666666667,0.5,0.1875,0.12096774193548389,1.0,0.6621248932666662,0.23165387293467804,0.3702427441407009,0.4032664611434858,0.6497104811329226,48.0,4,rep_visit,True,rep_visit,0.5148
40,Joseph,Wright,cardiology,medium_value,TERR_12,El Paso,TX,hospital,1.1,False,Mixed,3.0,8.0,8.0,5.0,4.0,0.0,0.25,0.5,0.2,0.0,4.0,23.0,50.0,37.0,126.0,0.29411764705882354,0.44776119402985076,0.2,0.5,0.37499999999999994,0.5,0.4,0.1923076923076923,0.0,0.47058823529411764,0.5660377358490566,0.25,0.1875,0.8823529411764706,0.0,0.2706663474485741,0.4742269801089141,0.12287393430188186,0.3610570857396199,0.22093804351374507,28.43,238,phone_call,True,rep_visit,0.3351
41,Anna,Baker,dermatology,low_value,TERR_33,Memphis,TN,private_practice,0.5,False,Mixed,0.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,0.42857142857142855,0.5,,10.0,36.0,120.0,141.0,0.4117647058823529,0.2,0.42857142857142855,0.25,0.45454545454545453,0.0,0.2,0.17543859649122806,0.5,0.17647058823529413,0.75,0.0,0.0,0.0,0.0,0.377946850414727,0.14573453137462253,0.37066322907983584,0.19135420808303355,0.0,20.33,408,rep_visit,True,rep_visit,0.5634
42,Brenda,Hurst,primary_care,high_value,TERR_19,Houston,TX,private_practice,0.5,False,In-Person-Heavy,0.0,8.0,3.0,6.0,8.0,0.0,0.125,0.0,0.5,0.25,,63.0,35.0,43.0,100.0,0.35294117647058826,0.410958904109589,0.5,0.1875,0.46153846153846145,0.0,0.8,0.23076923076923073,0.25,0.47058823529411764,0.3225806451612903,0.125,0.0,0.0,0.0,0.4510443959021734,0.13417276388040633,0.36046672991223894,0.23764033962503295,0.0,22.26,370,rep_visit,True,rep_visit,0.6828
43,Reginald,Robinson,cardiology,medium_value,TERR_46,Philadelphia,PA,hospital,4.5,False,Digital-Heavy,2.0,2.0,4.0,8.0,6.0,0.0,0.0,1.0,0.5,0.16666666666666666,189.0,289.0,129.0,23.0,7.0,0.47058823529411764,0.5660377358490566,0.5,0.25,0.18867924528301888,1.0,0.6,0.8108108108108107,0.16666666666666666,0.11764705882352941,0.09404388714733543,0.0,0.125,0.136986301369863,0.0,0.5074965869140469,0.6766751352748237,0.3896373810599235,0.04386775228367885,0.05425163488179472,30.86,186,phone_call,True,rep_visit,0.4708
44,Whitney,Hicks,cardiology,low_value,TERR_29,Arlington,TX,hospital,1.4,True,In-Person-Heavy,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,249.0,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.625,0.0,0.0,0.0,0.0,0.125,0.1075268817204301,0.0,0.0,0.0,0.19128245030751073,0.0,0.04817756921295729,4.71,500,Do Not Contact,False,rep_visit,0.4923
45,Christopher,Williams,dermatology,low_value,TERR_32,Nashville,TN,clinic,1.0,False,In-Person-Heavy,2.0,1.0,5.0,4.0,2.0,0.0,0.0,1.0,0.75,0.0,94.0,151.0,36.0,65.0,154.0,0.23529411764705882,0.31578947368421056,0.75,0.3125,0.45454545454545453,1.0,0.2,0.16304347826086957,0.0,0.058823529411764705,0.16574585635359115,0.0,0.125,0.24193548387096778,0.0,0.5533840755985753,0.7444961508331808,0.07522854970135476,0.04641286626683547,0.07589049382702807,27.8,251,phone_call,True,rep_visit,0.6507
46,Daniel,Burton,primary_care,low_value,TERR_25,Omaha,NE,private_practice,3.5,False,In-Person-Heavy,1.0,6.0,2.0,3.0,2.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,154.0,46.0,67.0,175.0,57.0,0.17647058823529413,0.14634146341463417,0.6666666666666666,0.125,0.30927835051546393,0.0,0.2,0.3448275862068966,0.0,0.35294117647058826,0.39473684210526316,0.3333333333333333,0.0625,0.16304347826086957,0.0,0.45739471678146504,0.08977552615943879,0.11270955314116474,0.3500733295721933,0.04662059722748402,20.5,406,rep_visit,True,rep_visit,0.505
